"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"taille";-0,032;-1,71;0,152;0,476;0,139
"sûreté";29,742;-1,465;-1,74;-1,362;-1,764
"sûrement";0,192;0,074;-1,159;2,646;-1,175
"spectateur";1,924;0,001;-1,45;0,008;-0,021
"soupçonner";0;-0,033;0,41;-0,013;-0,124
"somme";-0,607;4,226;-0,869;0,441;-0,881
"sombre";-1,42;-1,71;-2,031;2,774;4,754
"sincère";4,732;3,531;-1,74;-1,362;-1,764
"sexe";1,172;-0,033;-1,74;-1,362;2,559
"servitude";4,732;-1,465;-1,74;-0,013;0,389
"service";0;-0,033;0,41;-0,013;-0,124
"sensibilité";0,693;-0,125;-0,268;-1,59;1,629
"second";-1,013;0,001;0,888;0,008;-0,021
"sauvage";-1,013;-1,221;-0,017;-1,135;9,386
"sanglant";24,775;-1,221;-1,45;-1,135;-1,47
"sang_froid";-1,013;0,001;4,061;0,008;-1,47
"révéler";0;-1,465;-1,74;-1,362;12,616
"réveiller";-1,216;-1,465;-1,74;-1,362;20,502
"réfléchir";3,152;-0,976;-1,159;-0,907;1,705
"retenir";-1,013;-1,221;-1,45;0,008;9,386
"remède";0;0,721;-1,74;-0,013;0,389
"remords";0,192;-0,976;0,015;-0,907;1,705
"remonter";0,585;-0,732;0,205;-0,68;0,194
"religieux";0;3,531;-1,74;0,883;-1,764
"recommander";-0,032;-1,71;4,857;-1,59;0,139
"recherche";0;8,461;-1,74;-0,013;-1,764
"rapide";-1,013;0,001;-1,45;0,008;3,979
"raconter";-1,216;3,531;2,625;-1,362;-1,764
"quelqu";19,812;-0,976;-1,159;-0,907;-1,175
"quatrième";-1,013;-1,221;17,316;-1,135;-1,47
"pâlir";0,036;-1,221;-0,017;-1,135;3,979
"publiquement";0,192;2,352;-1,159;0,114;-1,175
"prêcher";0;-0,033;-0,115;-0,013;0,389
"provision";-0,81;0,074;1,748;-0,907;0,012
"presse";8,157;-0,125;-2,031;0,476;-2,059
"pompe";1,172;-0,033;-1,74;0,883;-0,124
"politesse";-1,013;1,325;4,061;-1,135;-1,47
"planter";0,192;0,074;0,015;-0,907;0,012
"pierreries";-1,216;-1,465;12,813;-0,013;-1,764
"pesant";-1,013;0,001;-0,017;1,543;-0,021
"perpétuel";-1,42;11,975;-2,031;-1,59;0,139
"paraguay";-1,013;-1,221;9,537;-1,135;-0,021
"ostentation";10,681;-0,033;-1,74;-1,362;-0,124
"organe";3,401;-1,71;-2,031;-1,59;4,754
"oraison";-1,42;-0,125;-2,031;21,084;-2,059
"opposé";-0,032;19,484;-2,031;-1,59;-2,059
"odieux";1,172;-0,033;-1,74;-1,362;2,559
"occasion";0,192;0,074;0,015;-0,907;0,012
"obéir";1,172;-1,465;-0,115;-1,362;2,559
"méditer";-1,013;1,325;-1,45;1,543;-0,021
"millier";-1,013;1,325;-1,45;5,74;-1,47
"mensonge";5,334;-0,732;-0,869;-0,68;0,194
"mari";1,924;-1,221;-0,017;0,008;-0,021
"marc";3,401;-1,71;0,152;-1,59;0,139
"machine";1,172;-1,465;0,41;0,883;-1,764
"législateur";14,293;-1,221;-1,45;-1,135;-0,021
"lugubre";-1,013;-1,221;-1,45;12,599;-0,021
"liqueur";0,585;-0,732;3,375;-0,68;-0,881
"laquais";0,192;-0,976;0,015;2,646;-1,175
"justement";3,401;0,359;-0,268;-1,59;-0,282
"jusqu_aux";0;-0,033;-0,115;-0,013;0,389
"jurer";-1,42;-1,71;16,147;-1,59;-0,282
"joug";8,157;-0,125;-2,031;-1,59;0,139
"jeunesse";1,172;-0,033;-1,74;0,883;-0,124
"invention";-1,216;-0,033;-1,74;-1,362;12,616
"interdire";0,585;0,36;-0,869;-0,68;0,194
"insensé";-0,81;-0,976;-1,159;8,505;0,012
"inquiétude";-1,42;-0,125;-0,268;-0,081;4,754
"innombrable";-1,216;0,721;-1,74;0,883;0,389
"injustice";0,585;-0,732;0,205;-0,68;0,194
"infiniment";-0,032;6,284;-0,268;-0,081;-2,059
"inconcevable";1,172;-0,033;-1,74;-1,362;2,559
"incendie";9,693;0,074;-1,159;-0,907;-1,175
"hôpital";0,585;-0,732;-0,869;0,441;0,194
"heureusement";0,036;-1,221;0,888;0,008;-0,021
"haïr";-0,81;2,352;0,015;-0,907;0,012
"hardi";0;0,721;-1,74;-0,013;0,389
"habiller";-1,216;-1,465;0,41;9,281;-1,764
"gêner";0,036;0,001;-1,45;5,74;-1,47
"guères";-1,013;-1,221;-1,45;22,12;-1,47
"fête";-0,032;-1,71;-2,031;6,974;0,139
"foudre";-0,81;-0,976;-1,159;-0,907;13,657
"filer";-1,013;-1,221;-1,45;22,12;-1,47
"fesser";-0,607;-0,732;10,381;-0,68;-0,881
"façon";-1,216;-1,465;-0,115;16,808;-1,764
